Profile,Country,Patent Number,Licensor,Country New,Patent Number New,Inventor
Main/Main10,ES,ES2728112,Samsung,ES,ES2728112,VADIM SEREGIN|IL KOO KIM
Main/Main10,ES,ES2729031,Docomo,ES,ES2729031,FRANK JAN BOSSEN|THIOW KENG TAN
Main/Main10,ES,ES2729678,Philips,ES,ES2729678,MATTHIAS NARROSCHKE|HANS GEORG MUSMANN
Main/Main10,ES,ES2730953,Docomo,ES,ES2730953,MITSURU KOBAYASHI|MINORU ETOH|SATORU ADACHI|CHOONG SENG BOON
Main/Main10,ES,ES2732009,Huawei,ES,ES2732009,JIN SONG|MINGYUAN YANG|DONG WANG
Main/Main10,ES,ES2732761,NEC,ES,ES2732761,KEIICHI CHONO|HIROFUMI AOKI
Main/Main10,ES,ES2733027,Samsung,ES,ES2733027,TAMMY LEE|BYEONG DOO CHOI
Main/Main10,ES,ES2733057,JVCKENWOOD,ES,ES2733057,TORU KUMAKURA|SHIGERU FUKUSHIMA
Main/Main10,ES,ES2733117,Panasonic,ES,ES2733117,SHINYA KADONO|MAKOTO HAGAI
Main/Main10,ES,ES2733223,Samsung,ES,ES2733223,TAMMY LEE|BYEONG DOO CHOI
Main/Main10,ES,ES2733936,Samsung,ES,ES2733936,MIN SU CHEON|HAE KYUNG JUNG|IL KOO MIN
Main/Main10,ES,ES2734113,JVCKENWOOD,ES,ES2734113,MASAYOSHI NISHITANI|HIROYA NAKAMURA|SHIGERU FUKUSHIMA|MOTOHARU UEDA
Main/Main10,ES,ES2734907,Samsung,ES,ES2734907,TAMMY LEE|BYEONG DOO CHOI
Main/Main10,ES,ES2735008,Samsung,ES,ES2735008,TAMMY LEE|BYEONG DOO CHOI
Main/Main10,ES,ES2738215,LGE,ES,ES2738215,JOONYOUNG PARK|SANGCHUL KIM|SEUNGWOOK PARK|JAEHYUN LIM|YONGJOON JEON|BYEONGMOON JEON|YOUNGHEE CHOI|JAEWON SUNG|JUNGSUN KIM|JINGYEONG KIM|TAEIL CHUNG
Main/Main10,ES,ES2742799,Panasonic,ES,ES2742799,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,ES,ES2743227,ETRI,ES,ES2743227,SUNG CHANG LIM|HUI YONG KIM|JIN HO LEE|JIN SOO CHOI|JIN WOONG KIM
Main/Main10,ES,ES2743398,LGE,ES,ES2743398,HENDRY HENDRY|SEUNGWOOK PARK|JAEHYUN LIM|YONGJOON JEON|CHULKEUN KIM|JUNGSUN KIM|NAERI PARK|BYEONGMOON JEON|JOONYOUNG PARK
Main/Main10,ES,ES2743606,Panasonic,ES,ES2743606,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,ES,ES2745044,Panasonic,ES,ES2745044,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,ES,ES2745058,Panasonic,ES,ES2745058,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,ES,ES2746341,Samsung,ES,ES2746341,ELENA ALSHINA|ALEXANDER ALSHIN
Main/Main10,ES,ES2746936,Samsung,ES,ES2746936,ELENA ALSHINA|ALEXANDER ALSHIN
Main/Main10,ES,ES2747977,SK Telecom,ES,ES2747977,SUNYEON KIM|BYEUNGWOO JEON|HYOUNGMEE PARK|MINCHEOL PARK|DONGWON KIM|KIBAEK KIM|JUOCK LEE
Main/Main10,ES,ES2748100,Docomo,ES,ES2748100,FRANK JAN BOSSEN|THIOW KENG TAN
Main/Main10,ES,ES2748463,ETRI,ES,ES2748463,JUNG WON KANG|HA HYUN LEE|JIN SOO CHOI|JIN WOONG KIM
Main/Main10,ES,ES2748604,Samsung,ES,ES2748604,TAMMY LEE|JIANLE CHEN
Main/Main10,ES,ES2750224,Docomo,ES,ES2750224,YOSHINORI SUZUKI|CHOONG SENG BOON
Main/Main10,ES,ES2750325,Docomo,ES,ES2750325,FRANK JAN BOSSEN|SANDEEP KANUMURI
Main/Main10,ES,ES2751013,Samsung,ES,ES2751013,MIN SU CHEON
Main/Main10,ES,ES2751334,Samsung,ES,ES2751334,TAMMY LEE|WOO JIN HAN|KYO HYUK LEE
Main/Main10,ES,ES2751356,Samsung,ES,ES2751356,TAMMY LEE|WOO JIN HAN|KYO HYUK LEE
Main/Main10,ES,ES2751973,Samsung,ES,ES2751973,TAMMY LEE|WOO JIN HAN|KYO HYUK LEE
Main/Main10,ES,ES2752723,Docomo,ES,ES2752723,FRANK JAN BOSSEN|SANDEEP KANUMURI
Main/Main10,ES,ES2753760,Canon,ES,ES2753760,CHRISTOPHE GISQUET|GUILLAUME LAROCHE
Main/Main10,ES,ES2754023,Samsung,ES,ES2754023,IL KOO KIM|YOUNG O PARK
Main/Main10,ES,ES2754657,Samsung,ES,ES2754657,TAMMY LEE
Main/Main10,ES,ES2754784,Sun Patent,ES,ES2754784,HISAO SASAI|TAKAHIRO NISHI|YOUJI SHIBAHARA|TOSHIYASU SUGIO|KYOKO TANIKAWA|TORU MATSUNOBU
Main/Main10,ES,ES2755357,Canon,ES,ES2755357,GUILLAUME LAROCHE|PATRICE ONNO
Main/Main10,ES,ES2755726,Sun Patent,ES,ES2755726,HISAO SASAI|TAKAHIRO NISHI|YOUJI SHIBAHARA|TOSHIYASU SUGIO|KYOKO TANIKAWA|TORU MATSUNOBU
Main/Main10,ES,ES2755730,Canon,ES,ES2755730,GUILLAUME LAROCHE|PATRICE ONNO
Main/Main10,ES,ES2755811,Samsung,ES,ES2755811,ELENA ALSHINA|ALEXANDER ALSHIN
Main/Main10,ES,ES2762868,HFI,ES,ES2762868,XIMIN ZHANG|SHAN LIU
Main/Main10,ES,ES2764713,Samsung,ES,ES2764713,ALEXANDER ALSHIN|ELENA ALSHINA|NIKOLAY SHLYAKHOV
Main/Main10,ES,ES2764988,Samsung,ES,ES2764988,IL KOO KIM
Main/Main10,ES,ES2764989,Samsung,ES,ES2764989,IL KOO KIM
Main/Main10,ES,ES2765023,LGE,ES,ES2765023,JAE HYUN LIM|SEUNG WOOK PARK|JUNG SUN KIM|YONG JOON JEON|JOON YOUNG PARK|BYEONG MOON JEON
Main/Main10,ES,ES2767926,Docomo,ES,ES2767926,FRANK JAN BOSSEN|SANDEEP KANUMURI
Main/Main10,ES,ES2767954,IP Bridge,ES,ES2767954,KIYOFUMI ABE|SHINYA KADONO|SATOSHI KONDO|MAKOTO HAGAI
Main/Main10,ES,ES2767966,Docomo,ES,ES2767966,FRANK JAN BOSSEN|SANDEEP KANUMURI
Main/Main10,ES,ES2768086,Samsung,ES,ES2768086,IL KOO KIM
Main/Main10,ES,ES2770312,Docomo,ES,ES2770312,FRANK JAN BOSSEN|SANDEEP KANUMURI
Main/Main10,ES,ES2770320,Samsung,ES,ES2770320,ELENA ALSHINA|ALEXANDER ALSHIN
Main/Main10,ES,ES2770609,Samsung,ES,ES2770609,IL KOO KIM
Main/Main10,ES,ES2771249,Canon,ES,ES2771249,EDOUARD FRANCOIS|GUILLAUME LAROCHE
Main/Main10,ES,ES2772837,Canon,ES,ES2772837,GUILLAUME LAROCHE|CHRISTOPHE GISQUET|EDOUARD FRANCOIS|PATRICE ONNO
Main/Main10,ES,ES2773691,Samsung,ES,ES2773691,ELENA ALSHINA|JIANLE CHEN|WOO JIN HAN
Main/Main10,ES,ES2773887,Docomo,ES,ES2773887,FRANK JAN BOSSEN|SANDEEP KANUMURI
Main/Main10,ES,ES2775070,DLLC,ES,ES2775070,GARY DEMOS
Main/Main10,ES,ES2776899,Samsung,ES,ES2776899,CHAN YUL KIM|JAE HYUN KIM|JEONG HOON PARK
Main/Main10,ES,ES2777184,LGE,ES,ES2777184,SEUNGWOOK PARK|JAEHYUN LIM|YONGJOON JEON|CHULKEUN KIM|JUNGSUN KIM|NAERI PARK|HENDRY HENDRY|BYEONGMOON JEON|JOONYOUNG PARK
Main/Main10,ES,ES2778655,Samsung,ES,ES2778655,LL KOO KIM|JUNG HYE MIN|HAE KYUNG JUNG|SUN IL LEE|MIN SU CHEON
Main/Main10,ES,ES2780055,DLLC,ES,ES2780055,GARY A DEMOS
Main/Main10,ES,ES2780126,Samsung,ES,ES2780126,JUNG HYE MIN|WOO JIN HAN|IL KOO KIM
Main/Main10,ES,ES2780186,Sun Patent,ES,ES2780186,VIKTOR WAHADANIAH|CHONG SOON LIM|SUE MON THET NAING|HAI WEI SUN|TOSHIYASU SUGIO|TAKAHIRO NISHI|HISAO SASAI|YOUJI SHIBAHARA|KYOKO TANIKAWA|TORU MATSUNOBU|KENGO TERADA
Main/Main10,ES,ES2780188,Sun Patent,ES,ES2780188,VIKTOR WAHADANIAH|CHONG SOON LIM|SUE MON THET NAING|HAI WEI SUN|TAKAHIRO NISHI|HISAO SASAI|YOUJI SHIBAHARA|KYOKO TANIKAWA|TOSHIYASU SUGIO|KENGO TERADA|TORU MATSUNOBU
Main/Main10,ES,ES2781556,Docomo,ES,ES2781556,YOSHINORI SUZUKI|CHOONG SENG BOON|THIOW KENG TAN
Main/Main10,ES,ES2781568,GEVC,ES,ES2781568,PHILIPP HELLE|DETLEV MARPE|SIMON OUDIN|THOMAS WIEGAND
Main/Main10,ES,ES2781786,Samsung,ES,ES2781786,JUNG HYE MIN|SUN SUN IL LEE|WOO JIN HAN
Main/Main10,ES,ES2782425,SK Telecom,ES,ES2782425,JINHAN SONG|JEONGYEON LIM|HAEKWANG KIM|JOOHEE MOON|YUNGLYUL LEE|JONGKI HAN|BYEUNGWOO JEON
Main/Main10,ES,ES2784509,GEVC,ES,ES2784509,HEINER KIRCHHOFFER|HEIKO SCHWARZ|TUNG NGUYEN|DETLEV MARPE|THOMAS WIEGAND
Main/Main10,ES,ES2784761,Canon,ES,ES2784761,MASAAKI KOBAYASHI
Main/Main10,ES,ES2785096,Canon,ES,ES2785096,CHRISTOPHER JAMES ROSEWARNE|ALVIN EDREA LABIOS
Main/Main10,ES,ES2785109,DIAB,ES,ES2785109,FELIX HENRY|CLARE GORDON
Main/Main10,ES,ES2785606,Docomo,ES,ES2785606,YOSHINORI SUZUKI|JUNYA TAKIUE|CHOONG SENG BOON|THIOW KENG TAN
Main/Main10,ES,ES2786998,Canon,ES,ES2786998,CHRISTOPHE GISQUET|GUILLAUME LAROCHE
Main/Main10,ES,ES2788690,Huawei,ES,ES2788690,TAKANORI YAMAZAKI|TOMOHIRO IKAI|TOMOYUKI YAMAMOTO|YUKINOBU YASUGI
Main/Main10,ES,ES2791705,Samsung,ES,ES2791705,HAE KYUNG JUNG|MIN SU CHEON|JUNG HYE MIN|IL KOO KIM
Main/Main10,ES,ES2793489,LGE,ES,ES2793489,YONG JOON JEON|SEUNG WOOK PARK|JAE HYUN LIM|JUNG SUN KIM|JOON YOUNG PARK|YOUNG HEE CHOI|JAE WON SUNG|BYEONG MOON JEON
Main/Main10,ES,ES2793963,Samsung,ES,ES2793963,SUN IL LEE|HAE KYUNG JUNG|MIN SU CHEON
Main/Main10,ES,ES2794582,Toshiba,ES,ES2794582,TAKESHI CHUJOH|TOMOO YAMAKAGE
Main/Main10,ES,ES2797423,Samsung,ES,ES2797423,IL KOO KIM|VADIM SEREGIN
Main/Main10,ES,ES2800049,Sun Patent,ES,ES2800049,VIKTOR WAHADANIAH|CHONG SOON LIM|SUE MON THET NAING|HAI WEI SUN|TAKAHIRO NISHI|HISAO SASAI|YOUJI SHIBAHARA|TOSHIYASU SUGIO|KYOKO TANIKAWA|TORU MATSUNOBU
Main/Main10,ES,ES2804733,SK Telecom,ES,ES2804733,JINHAN SONG|JEONGYEON LIM|HAEKWANG KIM|JOOHEE MOON|YUNGLYUL LEE|JONGKI HAN|BYEUNGWOO JEON
Main/Main10,ES,ES2805313,Sun Patent,ES,ES2805313,DAISAKU KOMIYA|TAKAHIRO NISHI|YOUJI SHIBAHARA|HISAO SASAI|TOSHIYASU SUGIO|KYOKO TANIKAWA|TORU MATSUNOBU
Main/Main10,ES,ES2805626,Huawei,ES,ES2805626,KIRAN MISRA|CHRISTOPHER A SEGALL
Main/Main10,ES,ES2806049,Docomo,ES,ES2806049,CHOONG SENG BOON|YOSHINORI SUZUKI|THIOW KENG TAN
Main/Main10,ES,ES2807351,Sun Patent,ES,ES2807351,TORU MATSUNOBU|TAKAHIRO NISHI|YOUJI SHIBAHARA|HISAO SASAI|KYOKO TANIKAWA|TOSHIYASU SUGIO
Main/Main10,ES,ES2811038,Samsung,ES,ES2811038,II KOO KIM|JUNG HYE MIN|HAE KYUNG JUNG|SUN IL LEE|MIN SU CHEON
Main/Main10,ES,ES2812150,Canon,ES,ES2812150,CHRISTOPHER JAMES ROSEWARNE
Main/Main10,ES,ES2816059,Samsung,ES,ES2816059,II KOO KIM|VADIM SEREGIN
Main/Main10,ES,ES2817844,Canon,ES,ES2817844,MASATO SHIMA
Main/Main10,ES,ES2820297,DLLC,ES,ES2820297,SUN YOUNG LEE
Main/Main10,ES,ES2820316,JVCKENWOOD,ES,ES2820316,TORU KUMAKURA|SHIGERU FUKUSHIMA
Main/Main10,ES,ES2820318,JVCKENWOOD,ES,ES2820318,TORU KUMAKURA|SHIGERU FUKUSHIMA
Main/Main10,ES,ES2820322,JVCKENWOOD,ES,ES2820322,TORU KUMAKURA|SHIGERU FUKUSHIMA
Main/Main10,ES,ES2820332,JVCKENWOOD,ES,ES2820332,TORU KUMAKURA|SHIGERU FUKUSHIMA
Main/Main10,ES,ES2823231,SK Telecom,ES,ES2823231,SUNYEON KIM|BYEUNGWOO JEON|HYOUNGMEE PARK|MINCHEOL PARK|DONGWON KIM|KIBAEK KIM|JUOCK LEE
Main/Main10,ES,ES2823478,JVCKENWOOD,ES,ES2823478,MASAYOSHI NISHITANI|HIROYA NAKAMURA|SHIGERU FUKUSHIMA|MOTOHARU UEDA
Main/Main10,ES,ES2823479,JVCKENWOOD,ES,ES2823479,MASAYOSHI NISHITANI|HIROYA NAKAMURA|SHIGERU FUKUSHIMA|MOTOHARU UEDA
Main/Main10,ES,ES2825065,JVCKENWOOD,ES,ES2825065,MASAYOSHI NISHITANI|HIROYA NAKAMURA|SHIGERU FUKUSHIMA|MOTOHARU UEDA
Main/Main10,ES,ES2825200,GEVC,ES,ES2825200,HEINER KIRCHHOFFER|HEIKO SCHWARZ|TUNG NGUYEN|DETLEV MARPE|THOMAS WIEGAND
Main/Main10,ES,ES2828048,Toshiba,ES,ES2828048,AKIYUKI TANIZAWA|TAKESHI CHUJOH
Main/Main10,ES,ES2829621,Panasonic,ES,ES2829621,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,ES,ES2829622,Panasonic,ES,ES2829622,SHINYA KADONO|MAKOTO HAGAI
Main/Main10,ES,ES2829810,SK Telecom,ES,ES2829810,SUNYEON KIM|BYEUNGWOO JEON|HYOUNGMEE PARK|MINCHEOL PARK|DONGWON KIM|KIBAEK KIM|JUOCK LEE
Main/Main10,ES,ES2831415,GEVC,ES,ES2831415,THOMAS SCHIERL|VALERI GEORGE|ANASTASIA HENKEL|DETLEV MARPE|KARSTEN GRÜNEBERG|ROBERT SKUPIN
Main/Main10,ES,ES2831999,Sun Patent,ES,ES2831999,MATTHIAS NARROSCHKE|THOMAS WEDI
Main/Main10,ES,ES2832573,ETRI,ES,ES2832573,SUNG CHANG LIM|HUI YONG KIM|JIN HO LEE|JIN SOO CHOI|JIN WOONG KIM
Main/Main10,ES,ES2834105,Sun Patent,ES,ES2834105,TORU MATSUNOBU|TAKAHIRO NISHI|YOUJI SHIBAHARA|HISAO SASAI|KYOKO TANIKAWA|TOSHIYASU SUGIO|KENGO TERADA
Main/Main10,ES,ES2834444,Samsung,ES,ES2834444,TAMMY LEE
Main/Main10,ES,ES2834473,Panasonic,ES,ES2834473,SHINYA KADONO|MAKOTO HAGAI
Main/Main10,ES,ES2835311,Canon,ES,ES2835311,CHRISTOPHE GISQUET|GUILLAUME LAROCHE
Main/Main10,ES,ES2837009,ETRI,ES,ES2837009,SUNG CHANG LIM|HUI YONG KIM|JIN HO LEE|JIN SOO CHOI|JIN WOONG KIM
Main/Main10,ES,ES2844101,"ETRI, KAIST",ES,ES2844101,JONG HO KIM|HUI YONG KIM|SE YOON JEONG|SUNG CHANG LIM|HA HYUN LEE|JIN HO LEE|SUK HEE CHO|JIN SOO CHOI|JIN WOONG KIM|CHIE TEUK AHN|MUN CHURL KIM|BUM SHIK LEE
Main/Main10,ES,ES2844148,Sun Patent,ES,ES2844148,VIKTOR WAHADANIAH|CHONG SOON LIM|SUE MON THET NAING|HAI WEI SUN|TAKAHIRO NISHI|HISAO SASAI|YOUJI SHIBAHARA|TOSHIYASU SUGIO|KYOKO TANIKAWA|TORU MATSUNOBU|KENGO TERADA
Main/Main10,ES,ES2847955,Docomo,ES,ES2847955,FRANK BOSSEN
Main/Main10,ES,ES2848525,Toshiba,ES,ES2848525,AKIYUKI TANIZAWA|TAKESHI CHUJOH
Main/Main10,ES,ES2848869,Samsung,ES,ES2848869,TAMMY LEE
Main/Main10,ES,ES2850074,Toshiba,ES,ES2850074,SAORI ASAKA|TAKESHI CHUJOH|AKIYUKI TANIZAWA|GOKI YASUDA|NAOFUMI WADA|TAKASHI WATANABE
Main/Main10,ES,ES2852376,ETRI,ES,ES2852376,JIN HO LEE|HUI YONG KIM|SE YOON JEONG|SUK HEE CHO|HA HYUN LEE|JONG HO KIM|SUNG CHANG LIM|JIN SOO CHOI|JIN WOONG KIM|CHIE TEUK AHN
Main/Main10,ES,ES2861773,JVCKENWOOD,ES,ES2861773,HIROYA NAKAMURA|MASAYOSHI NISHITANI|SHIGERU FUKUSHIMA|MOTOHARU UEDA
Main/Main10,ES,ES2861801,Canon,ES,ES2861801,KOJI OKAWA
Main/Main10,ES,ES2863416,Samsung,ES,ES2863416,HAK SUP SONG|JUNG HYE MIN
Main/Main10,ES,ES2864024,Samsung,ES,ES2864024,MIN SU CHEON|HAE KYUNG JUNG|IL KOO MIN
Main/Main10,ES,ES2865101,Sun Patent,ES,ES2865101,SUE MON THET NAING|CHONG SOON LIM|KYAW KYAW WIN|HAI WEI SUN|VIKTOR WAHADANIAH|TAKAHIRO NISHI|HISAO SASAI|YOUJI SHIBAHARA|TOSHIYASU SUGIO|KYOKO TANIKAWA|TORU MATSUNOBU|KENGO TERADA
Main/Main10,ES,ES2870967,Panasonic,ES,ES2870967,SHINYA KADONO|MAKOTO HAGAI
Main/Main10,ES,ES2875926,Canon,ES,ES2875926,GUILLAUME LAROCHE
Main/Main10,ES,ES2875939,Canon,ES,ES2875939,GUILLAUME LAROCHE|PATRICE ONNO
Main/Main10,ES,ES2877369,JVCKENWOOD,ES,ES2877369,HIROYA NAKAMURA|SHIGERU FUKUSHIMA|HIDEKI TAKEHARA
Main/Main10,ES,ES2879573,Samsung,ES,ES2879573,WOONG IL CHOI|WOO JIN HAN|TAMMY LEE|SUN IL LEE
Main/Main10,ES,ES2883382,Huawei,ES,ES2883382,CHANGCAI LAI
Main/Main10,ES,ES2885760,Huawei,ES,ES2885760,XING WEN|OSCAR AU|HAITAO YANG|JIANTONG ZHOU
Main/Main10,ES,ES2886342,JVCKENWOOD,ES,ES2886342,HIROYA NAKAMURA|SHIGERU FUKUSHIMA|HIDEKI TAKEHARA
Main/Main10,ES,ES2888805,JVCKENWOOD,ES,ES2888805,HIROYA NAKAMURA|SHIGERU FUKUSHIMA|HIDEKI TAKEHARA
Main/Main10,ES,ES-EP2636218,GEVC,EP,EP2636218,HEIKO SCHWARZ|HEINER KIRCHHOFFER|PHILIPP HELLE|SIMON OUDIN|JAN STEGEMANN|BENJAMIN BROSS|DETLEV MARPE|THOMAS WIEGAND
Main/Main10,ES,ES-EP3471415,GEVC,EP,EP3471415,VALERI GEORGE|BENJAMIN BROSS|HEINER KIRCHHOFFER|DETLEV MARPE|TUNG NGUYEN|MATTHIAS PREISS|MISCHA SIEKMANN|JAN STEGEMANN|THOMAS WIEGAND
Main/Main10,ES,ES-EP3716621,JVCKENWOOD,EP,EP3716621,HIROYA NAKAMURA|SHIGERU FUKUSHIMA|HIDEKI TAKEHARA
Main/Main10,FI,FI-EP1387585,Panasonic,EP,EP1387585,MAKOTO HAGAI|SHINYA KADONO
Main/Main10,FI,FI-EP1406450,Panasonic,EP,EP1406450,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,FI,FI-EP1406451,Panasonic,EP,EP1406451,CHONG SOON LIM|TECK WEE FOO|SHENG MEI SHEN|SHINYA KADONO|SATOSHI KONDO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,FI,FI-EP1439713,Panasonic,EP,EP1439713,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,FI,FI-EP1445869,Panasonic,EP,EP1445869,SHINYA KADONO|YOSHINORI MATSUI|SATOSHI KONDO
Main/Main10,FI,FI-EP1445960,Panasonic,EP,EP1445960,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI
Main/Main10,FI,FI-EP1459449,DIAB,EP,EP1459449,LOUIS JOSEPH KEROFSKY
Main/Main10,FI,FI-EP1504408,Docomo,EP,EP1504408,FRANK JAN BOSSEN
Main/Main10,FI,FI-EP1540962,Docomo,EP,EP1540962,FRANK JAN BOSSEN
Main/Main10,FI,FI-EP1550219,GEVC,EP,EP1550219,DETLEF MARPE|THOMAS WIEGAND
Main/Main10,FI,FI-EP1557072,Philips,EP,EP1557072,MARC W. T. KLEIN MIDDELINK|JAN VAN DER MEER
Main/Main10,FI,FI-EP1590964,Philips,EP,EP1590964,WILHELMUS H. A. BRULS
Main/Main10,FI,FI-EP1742480,Panasonic,EP,EP1742480,CHONG SOON LIM|TECK WEE FOO|SHENG MEI SHEN|SHINYA KADONO|SATOSHI KONDO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,FI,FI-EP1742483,IP Bridge,EP,EP1742483,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,FI,FI-EP1978747,IP Bridge,EP,EP1978747,ZHONG XUE|SHENG MEI SHEN|TECK WEE FOO|CHAK JOO LEE|SHINYA KADONO
Main/Main10,FI,FI-EP2037412,GEVC,EP,EP2037412,DETLEF MARPE|THOMAS WIEGAND
Main/Main10,FI,FI-EP2239943,DLLC,EP,EP2239943,GARY A. DEMOS
Main/Main10,FI,FI-EP2249570,Panasonic,EP,EP2249570,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,FI,FI-EP2249573,Panasonic,EP,EP2249573,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,FI,FI-EP2249574,Panasonic,EP,EP2249574,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,FI,FI-EP2249575,Panasonic,EP,EP2249575,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,FI,FI-EP2249576,Panasonic,EP,EP2249576,SATOSHI KONDO|KIYOFUMI ABE|MAKOTO HAGAI|SHINYA KADONO
Main/Main10,FI,FI-EP2249577,Panasonic,EP,EP2249577,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,FI,FI-EP2249578,Panasonic,EP,EP2249578,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,FI,FI-EP2254339,DLLC,EP,EP2254339,GARY A. DEMOS
Main/Main10,FI,FI-EP2262114,DIAB,EP,EP2262114,LOUIS JOSEPH KEROFSKY
Main/Main10,FI,FI-EP2262268,DLLC,EP,EP2262268,GARY A. DEMOS
Main/Main10,FI,FI-EP2268035,Docomo,EP,EP2268035,SATORU ADACHI|CHOONG SENG BOON|SADAATSU KATO|MINORU ETOH|THIOW KENG TAN
Main/Main10,FI,FI-EP2268036,Docomo,EP,EP2268036,SATORU ADACHI|CHOONG SENG BOON|SADAATSU KATO|MINORU ETOH|THIOW KENG TAN
Main/Main10,FI,FI-EP2271107,Panasonic,EP,EP2271107,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,FI,FI-EP2271108,Panasonic,EP,EP2271108,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,FI,FI-EP2271109,Panasonic,EP,EP2271109,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,FI,FI-EP2271110,Panasonic,EP,EP2271110,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI
Main/Main10,FI,FI-EP2271111,Panasonic,EP,EP2271111,SATOSHI KONDO|SHINYA KADONO|MAKOTO HAGAI
Main/Main10,FI,FI-EP2271114,Docomo,EP,EP2271114,SATORU ADACHI|CHOONG SENG BOON|SADAATSU KATO|MINORU ETOH|THIOW KENG TAN
Main/Main10,FI,FI-EP2278816,Panasonic,EP,EP2278816,CHONG SOON LIM|TECK WEE FOO|SHENG MEI SHEN|SHINYA KADONO|SATOSHI KONDO|MAKOTO HAGAI|KIYOFUMI ABE
Main/Main10,FI,FI-EP2288163,LGE,EP,EP2288163,JAE WON SUNG|SEUNG WOOK PARK|YONG JOON JEON|JUNG SUN KIM|YOUNG HEE CHOI|BYEONG MOON JEON|JOON YOUNG PARK
Main/Main10,FI,FI-EP2290612,GEVC,EP,EP2290612,DETLEV MARPE|THOMAS WIEGAND
Main/Main10,FI,FI-EP2296282,GEVC,EP,EP2296282,DETLEV MARPE|THOMAS WIEGAND
Main/Main10,FI,FI-EP2326013,GEVC,EP,EP2326013,DETLEV MARPE|THOMAS WIEGAND
Main/Main10,FI,FI-EP2391019,Panasonic,EP,EP2391019,SHINYA KADONO|YOSHINORI MATSUI|SATOSHI KONDO
Main/Main10,FI,FI-EP2391129,LGE,EP,EP2391129,JAEHYUN LIM|BYEONGMOON JEON|SEUNGWOOK PARK|JAEWON SUNG|JUNGSUN KIM|YONGJOON JEON|JOONYOUNG PARK|YOUNGHEE CHOI
Main/Main10,FI,FI-EP2443833,Samsung,EP,EP2443833,HAE KYUNG JUNG|MIN SU CHEON|JUNG HYE MIN|IL KOO KIM
Main/Main10,FI,FI-EP2452493,Samsung,EP,EP2452493,MIN SU CHEON|HAE KYUNG JUNG|JUNG HYE MIN|IL KOO KIM
Main/Main10,FI,FI-EP2452494,Samsung,EP,EP2452494,JIANLE CHEN|MIN SU CHEON|JAE CHOOL LEE|JUNG HYE MIN|HAE KYUNG JUNG|IL KOO KIM|SANG RAE LEE|KYO HYUK LEE
Main/Main10,FI,FI-EP2471266,Samsung,EP,EP2471266,MIN SU CHEON|JUNG HYE MIN|WOO JIN HAN
Main/Main10,FI,FI-EP2489186,Samsung,EP,EP2489186,WOO JIN HAN|JUNG HYE MIN|IL KOO KIM
Main/Main10,FI,FI-EP2510698,Samsung,EP,EP2510698,SUN IL LEE|MIN SU CHEON|WOO JIN HAN
Main/Main10,FI,FI-EP2545710,Samsung,EP,EP2545710,ALEXANDER ALSHIN|ELENA ALSHINA|NIKOLAY SHLYAKHOV
Main/Main10,FI,FI-EP2545713,Samsung,EP,EP2545713,JUNG HYE MIN|ELENA ALSHINA|WOO JIN HAN
Main/Main10,FI,FI-EP2559005,GEVC,EP,EP2559005,PHILIPP HELLE|SIMON OUDIN|DETLEV MARPE|THOMAS WIEGAND
Main/Main10,FI,FI-EP2559244,GEVC,EP,EP2559244,THOMAS WIEGAND|HEINER KIRCHHOFFER|HEIKO SCHWARZ|TUNG NGUYEN|DETLEV MARPE
